recipe_slug	score_estimate
falafel	0.9489818749988683
spamburger	0.059630903040908734
bacon-fried-rice	-0.013727813833479995
chicken-fingers	0.9268237813792273
apple-crisp	1.0011912933183327
cranberry-apple-crisp	0.9634130912947778
bacon-chocolate-chip-cookies	0.1241516915799569
sujebi	0.5389821552355903
pasta-primavera	0.4936471763133297
ramen	0.04320323850278478
brownies	1.0084071867186126
bacon-wrapped-scallops	0.006791438449682205
bacon-egg-muffins	0.01185236883916356
breakfast-burritos	-0.0006779528664470069
bolognese-sauce	0.491641175074072
croissants	0.5529681782758603
bacon-souffle	0.06955530317174295
souffle	0.9013211232515721
chocolate-souffle	1.011380612040446
butter-croissants	0.6511253599276186
pickled-green-beans	0.5273103896446915
fried-oysters	0.5006662565795086
peanut-butter-brownies	0.9661118404188027
almond-chip-cookies	0.9541512045474129
guacamole	0.5287266872706563
brioche-bread	0.9720631683100512
brioche-bread-with-chocolate	1.0250017066588741
asparagus-quiche	0.5011121304326969
asparagus-burger	0.5118586721427991
ma-la-chicken	0.9239566888798254
cold-noodles-with-tomatoes	0.528379827394643
tamales	0.5055818367808085
enchiladas	0.5076659212919507
tacos	0.4908521211583947
burritos	0.5134758502354884
peanut-butter-cupcakes	1.006836130647979
pickled-asparagus	0.8666453716012061
chocolate-peanut-butter-cake	0.9932056541604064
udon	0.4724973783628911
vegetable-lasagna	0.5168809708090799
maple-bacon-donuts	0.053697318022136925
maple-bacon-pancakes	-0.011644011459383093
spinach-and-ricotta-stuffed-shells	0.5179486257968314
quesadillas	0.5233332700162602
pico-de-gallo	0.5421055899197702
nachos	0.569596738717004
cold-soba-noodles-with-tomato-and-cucumber	0.8952643938343801
fajitas	0.9366919010457043
loaded-nachos	0.9174573362901104
lasagna	0.4389065667709992
chicken-nuggets	0.9863960753841498
pain-au-chocolat	0.9648896300463531
nacho-dip	0.5356694229510889
nacho-salad	0.9722851203983882
nacho-casserole	0.9035562583589647
nacho-fries	0.9928727527410751
tempura-udon	0.49667614771571833
peach-crisp	0.9732889496198887
apple-pie	0.9904183838303626
blueberry-crisp	1.0277894225681818
berry-crumble	0.9897259500782951
strawberry-rhubarb-crisp	0.9844964100954398
peach-cobbler	0.9430634127491976
cranberry-sauce	0.04897784953278567
cherry-cobbler	0.9776849111480304
apple-crumble	1.0251148185580612
chocolate-croissants	0.8895034380830958
french-toast	0.8686917073168481
chocolate-babka	0.9602884166466303
cinnamon-babka	0.9331029720414485
blueberry-crumble	0.9314252351513285
spam-musubi	0.942266126306321
taco-salad	0.4789680192513933
chiles-rellenos	0.4765192882211282
almond-croissants	0.9413510677441892
cranberry-relish	0.04897784953278567
ma-la-beef	0.49676648630867526
chocolate-cake	0.9762824667740003
spinach-quiche	0.4902766378327049
mushroom-quiche	0.5030791248885187
quiche-lorraine	0.03922271881193634
croissant-aux-amandes	0.9354923716781762
danishes	0.15805419027063744
spinach-and-feta-quiche	0.5044953916124967
cold-sesame-noodles	0.4861365299058369
soba-noodle-salad-with-peanut-dressing	0.5348639599274441
dan-dan-noodles	0.07353821775770428
vanilla-souffle	0.9528152014566328
bacon-wrapped-dates	0.058400324683394664
cherry-pie	0.9734661801178599
berry-crisp	0.9817857550827267
bacon-and-egg-breakfast-sandwich	-0.015945706988948552
bacon-wrapped-shrimp-skewers	0.006297421288096
bacon-wrapped-chicken	0.06636305851599143
bacon-wrapped-asparagus	0.05325518040368095
bacon-mac-and-cheese	0.00010586948116295125
chicken-alfredo-lasagna	0.9257299264936799
classic-beef-lasagna	0.5143527779445236
vegetarian-mushroom-lasagna	0.5311508078584218
spinach-and-ricotta-lasagna	0.5136357766361992
